curr_meeting_date,curr_venue_name,curr_race_number,curr_tab_number,horse_name,meeting_date,venue,rail_position,race_number,race_name,condition_age,condition_jockey,condition_sex,condition_class,condition_weight,condition_group,race_record,starters,margin_1,margin_2,race_duration,sectional_distance,sectional_time,barrier,jockey,abnormal_finish,position_finish,position_1200m,position_800m,position_400m,position_settling,blinkers_on,favourite,dead_heat,margin,weight_carried,weight_adjustment,stewards_report,pg1_barrier,pg1_position,pg1_dead_heat,pg1_horse,pg1_jockey,pg1_country,pg1_weight,pg1_margin,pg2_barrier,pg2_position,pg2_dead_heat,pg2_horse,pg2_jockey,pg2_country,pg2_weight,pg2_margin,pg3_barrier,pg3_position,pg3_dead_heat,pg3_horse,pg3_jockey,pg3_country,pg3_weight,pg3_margin,dslr
21/05/2016,Rosehill,1,1,Legerity,28/11/2015,Moonee Valley,True Entire Circuit,1,John Paraskevas Plate,2yo,Apprentices Cannot Claim,,Open,Set Weight With Penalties,,,10,LH,1,58.82,600,35.45,8,D Dunn,,3,,6,6,6,FALSE,FALSE,FALSE,1.2,57,,,5,1,FALSE,Rampage,L Currie,AUS,57,0.2,1,2,FALSE,Giroux,G Boss,AUS,55,0.2,7,4,FALSE,Vegas Strip,C Newitt,AUS,55,2.5,
21/05/2016,Rosehill,1,1,Legerity,11/12/2015,Moonee Valley,Out 7m Entire Circuit,1,G1x.Com.Au Plate,2yo,Apprentices Cannot Claim,,Open,Set Weight With Penalties,,,7,2.3,2.8,59.39,600,34.69,3,D Dunn,,5,,,3,4,FALSE,FALSE,FALSE,5.3,57,,,5,1,FALSE,Highland Beat,Damian Lane,AUS,57,2.3,6,2,FALSE,Giroux,B Melham,AUS,55,2.3,4,3,FALSE,Lessyd,L Currie,AUS,57,5.1,13
21/05/2016,Rosehill,1,1,Legerity,29/03/2016,Rosehill,Timing - Manual : Rail - Normal,11,Barrier Trial,2yo,,Colts & Geldings,Open Barrier Trial,Catch Weight,,,9,1.3,3-Apr,54.3,,,1,Tommy Berry,,1,,,,,FALSE,FALSE,FALSE,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,1,Legerity,20/04/2016,Canterbury,+3m Entire Circuit,3,All Too Hard Mdn Hcp,2yo,Apprentices Can Claim,,Maiden,Handicap,,,10,NK,1.8,66.39,600,37.06,9,Thomas Huet,,2,,3,3,3,FALSE,FALSE,FALSE,0.3,57.5,,,3,1,FALSE,Purrari,James P Innes,AUS,51.5,0.3,5,3,FALSE,Ajani,C Reith,AUS,58,2.1,10,4,FALSE,Witches,J R Collett,AUS,55,3.3,131
21/05/2016,Rosehill,1,1,Legerity,7/05/2016,Rosehill,+3m Entire Circuit,1,Tab.Com.Au Hcp,2yo,Apprentices Can Claim,,Open,Handicap,,,6,0.5,1.5,64.43,600,33.76,3,B Avdulla,,1,,1,1,1,FALSE,TRUE,FALSE,0.5,56.5,,,4,2,FALSE,Baltic Whisper,T Angland,AUS,56.5,0.5,1,3,FALSE,Archives,A Hyeronimus,AUS,56.5,2,6,4,FALSE,Aviator,M Rodd,AUS,58,3.1,17
21/05/2016,Rosehill,1,2,Redouble,19/01/2016,Rosehill,Timing - Manual : Rail - Normal,11,Barrier Trial,,,,Open Barrier Trial,Catch Weight,,,8,1,Lg hd,54.3,,,3,C Reith,,3,,,,,FALSE,FALSE,FALSE,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,2,Redouble,18/04/2016,Hawkesbury,Timing - Electronic : Rail - Normal,9,Barrier Trial,2yo,,,Open Barrier Trial,Catch Weight,,,7,Hd,4.3,46.18,,,1,C Reith,,1,,,,,FALSE,FALSE,FALSE,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,2,Redouble,27/04/2016,Canterbury,+6m Entire Circuit,2,Ranvet Mdn Plate,2yo,Apprentices Can Claim,,Maiden,Set Weight,,,9,SH,0.5,72.59,600,36.69,2,C Reith,,1,,,4,3,FALSE,FALSE,FALSE,0.1,57,,,8,2,FALSE,Raiment,J B McDonald,AUS,55,0.1,9,3,FALSE,Serena's Pride,Tim Clark,AUS,55,0.6,3,4,FALSE,Sezanne,J R Collett,AUS,55,1.9,
21/05/2016,Rosehill,1,3,Baltic Whisper,15/04/2016,Warwick Farm,Timing - Manual : Rail - Normal,12,Barrier Trial,2yo,,Colts & Geldings,Open Barrier Trial,Catch Weight,,,8,Hd,3.5,46.9,,,1,T Angland,,1,,,,,FALSE,FALSE,FALSE,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,3,Baltic Whisper,26/04/2016,Rosehill,Timing - Manual : Rail - Normal,11,Barrier Trial,2yo,,Colts & Geldings,Open Barrier Trial,Catch Weight,,,7,3,3-Apr,54.4,,,1,T Angland,,1,,,,,FALSE,FALSE,FALSE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
