meeting_date,meeting_is_night,meeting_is_trial,meeting_region,venue_name,venue_state,venue_country,club_name,race_number,race_name,race_start_time,race_division,race_distance,race_distance_is_approx,race_min_hcp_weight,track_name,track_code_3,track_code_5,rail_position,condition_jockey,condition_sex,condition_age,condition_class,condition_weight,condition_group,prize_1st,prize_2nd,prize_3rd,race_record,race_starters,race_margin_1,race_margin_2,race_duration,race_sectional_distance,race_sectional_time,race_going,horse_name,horse_foaled_on,horse_country,horse_sex,horse_colour,horse_location,sire_name,sire_country,dam_name,dam_country,sire_of_dam_name,sire_of_dam_country,jockey_name,trainer_name,owner_name,tab_no,earnings_to_date,emergency,gear_changes,barrier_no,abnormal_finish,position_finish,position_settling,position_1200m,position_800m,position_400m,blinkers_on,favourite,dead_heat,margin,margin_official,weight_carried,weight_adjustment,stewards_report,scratched,apn_win_opening,apn_win_mid,apn_win_starting,tab_nsw_win_final,tab_nsw_plc_final
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,Rowie,19/08/2009,AUS,G,ch,Albany,Flying Spur,AUS,Tazkara,FR,Sinndar,IRE,Mollie Clark,Stephen Sheehy,"Gangemi Thoroughbreds(Mgr: M J & J Gangemi), Mercon Racing(Mgr: D Condidorio), B Waterman, B Da Prato, D P Coyne, J Coyne, R J Wade, S Fraser, M ( Yeak, Ms I Cheng, K F Jones, R C Stone, Ms S M White, N L Gleeson, A G Strauch, L Scamaton, N Jaskola",2,236157,FALSE,,6,,1,7,,7,8,TRUE,FALSE,FALSE,0.3,,59,-1.5,,FALSE,,,13,15.7,4.4
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,Miss Kitwe,23/09/2011,AUS,M,b/br,Albany,More Than Ready,USA,Rose Of Hallowell,AUS,Commands,AUS,J Whiting,P B Hunter,Mt Hallowell Stud(Mgr: C Thompson),8,41380,FALSE,,8,,2,10,,10,7,TRUE,FALSE,FALSE,0.3,NK,54,,,FALSE,,,8,5.8,2
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,Twisted Mountain,11/09/2009,AUS,G,ch,Albany,Monashee Mountain,USA,Miss Skoozi,NZ,Stravinsky,USA,L Staples,J E Askevold,"D A Brown, T J Brown, R J Griffiths",4,99460,FALSE,,7,,3,8,,8,6,TRUE,FALSE,FALSE,1.1,0.8,57.5,,,FALSE,,,4,4.7,1.7
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,The Chorister,8/09/2011,AUS,G,b,South Hedland,Ad Valorem,USA,She's Captivating,AUS,Regal Classic,CAN,M Autier,Natalie Burke,R D Bell,10,53765,FALSE,,3,,4,6,,6,9,FALSE,FALSE,FALSE,1.5,,54,,,FALSE,,,51,69,14.8
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,Friarfighter,17/09/2010,AUS,G,b/br,Albany,Blackfriars,AUS,There She Be,AUS,Bletchley Park,IRE,D Staeck,D L Mcauliffe,D L Mc Auliffe,3,93775,FALSE,,9,,5,2,,2,2,TRUE,TRUE,FALSE,1.8,,58.5,,,FALSE,,,3.3,3.7,1.6
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,Our Royal Demon,6/09/2010,AUS,G,ch,Albany,Lords A Leaping,NZ,Lady Quebec,AUS,Dante's Fury,AUS,Casey Hunter,P B Hunter,"G H Clarke, Mrs D A Clarke, Mrs J L Donnelly, S Donnelly",9,33605,FALSE,,2,,6,9,,9,10,FALSE,FALSE,FALSE,3.5,,53,-1,,FALSE,,,26,19,4.7
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,Free Geoffrey,23/08/2007,AUS,G,ch,Wagin,Mr. Prosperous,USA,Little Toot,AUS,Jon George,GB,Shelby Colgate,A J Smith,"M J Smith, R English",7,56184,FALSE,,10,,7,3,,3,3,FALSE,FALSE,FALSE,3.8,,52,-2,,FALSE,,,26,20.5,3.8
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,Blizzard Express,9/11/2009,AUS,G,br,Albany,Danehill Express,AUS,Northern Blizzard,AUS,Rubiton,AUS,Kate Witten,M K Solly,"M K Solly, A A Carter, Mrs L Solly",1,77856,FALSE,,5,,8,1,,1,1,FALSE,FALSE,FALSE,4,,59.5,-1.5,,FALSE,,,11,17.8,5
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,Scampin,15/09/2010,AUS,M,br/bl,Mt Barker,Danehill Express,AUS,Flaming Caro,AUS,Metal Storm,FR,Mitchell Pateman,A M Mcnamara,A M Mc Namara(Snr),5,61780,FALSE,,4,,9,5,,5,5,TRUE,FALSE,FALSE,4.5,,56.5,,,FALSE,,,5,5.3,1.8
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,4,Avis Albany Hcp (C5),15:15,,1230,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 5,Handicap,,9800,2660,1260,,10,NK,0.8,72.6,,,Good 3,Secret Ensign,28/08/2011,AUS,G,br,Collie,Bletchley Park,IRE,Raunchy Business,AUS,Key Business,AUS,S McGruddy,Brett Southcott,"J G O'Neill, R C Williams, D R Bradford, P M Kulker",6,31100,FALSE,"Tongue Tie Off, Winkers Off",1,,10,4,,4,4,FALSE,FALSE,FALSE,5.5,,55,,,FALSE,,,9,10.3,2.9
